순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호
267,(주)제이케이컨텐츠미디어그룹,서울특별시 강남구 언주로172길 53 인륜빌딩 4층 (신사동),02-514-3338,제이케이컨텐츠미디어그룹,"의류, 패션, 잡화, 뷰티",연예/스포츠/엔터테인먼트,8
275,(주)위트커뮤니케이션,서울특별시 강남구 봉은사로74길 20 2층 (삼성동),02-564-8750,위트커뮤니케이션,"은행, 보험, 증권, 공공기관",산업군별 마케팅 영역,7-1
280,(주)크리진엔터테인먼트,서울 강남구 신사동 532-1 6층,02-515-1080,크리진엔터테인먼트,"전시, 홍보",이벤트/전시/행사 대행,6
281,(주)씨오엠파트너스,서울특별시 강남구 역삼로 227 5층 501호 썬스코빌딩 (역삼동),02-3472-0505,씨오엠파트너스,"광고물 문안, 도안, 설계",광고 대행/서비스 제공업체,1
285,(주)피피엘앤컴퍼니,서울특별시 강남구 강남대로146길 37 매틴빌딩 지하2층 (논현동),02-725-1993,피피엘앤컴퍼니,데이터베이스,광고 대행/서비스 제공업체,1
293,(주)스포츠플러스,서울 강남구 역삼동 791-12번지 삼영빌딩 2층,02-3454-1265,스포츠플러스,스포츠,연예/스포츠/엔터테인먼트,8
295,지앤지프로덕션(주),서울 강남구 도곡동 411-19 지앤지빌딩 4층,02-3460-4800,지앤지프로덕션,"연예 기획, 드라마 제작",연예/스포츠/엔터테인먼트,8
297,(주)딜라이브강남케이블티브이,서울특별시 강남구 학동로 318 유경빌딩 4층 (주)딜라이브강남케이블TV 광고영업팀,070-8121-7042,딜라이브강남케이블티브이,"인터넷, 방송",광고 대행/서비스 제공업체,1
299,(주)씨엔씨붐,서울특별시 강남구 테헤란로 313 1718호 (역삼동),02-511-6001,씨엔씨붐,여행,산업군별 마케팅 영역,7-5
300,(주)유달리커뮤니케이션즈,서울 강남구 논현2동 218-16,02-3443-7906,달리커뮤니케이션즈,온라인 광고,광고 대행/서비스 제공업체,1
301,(주)엠피디컴퍼니,"서울특별시 강남구 강남대로92길 31 6층, 6321호 (역삼동)",02-6085-7708,엠피디컴퍼니,드라마,광고 대행/서비스 제공업체,1
308,(주)스프링비트컴,"서울특별시 강남구 역삼로 228 , 201호 (역삼동, 한성빌딩)",02-6928-2200,스프링비트컴,옥외광고,광고 대행/서비스 제공업체,1
314,(주)투와이드컴퍼니,"서울특별시 강남구 남부순환로351길 19 , 4,6층(도곡동)",02-593-8451,투와이드컴퍼니,"브랜드 구축, 공공 PR",광고 대행/서비스 제공업체,1
319,(주)더리얼마케팅,서울특별시 강남구 압구정로10길 13 (마사빌딩 401호) (신사동),02-518-5112,더리얼마케팅,모바일 전자영수증 서비스,산업군별 마케팅 영역,9
320,(주)에이치앤에이치엔터테인먼트,서울특별시 강남구 논현로149길 12  (논현동),02-546-0966,에이치앤에이치엔터테인먼트,"연예, 스포츠, 엔터테인먼트",연예/스포츠/엔터테인먼트,8
323,(주)갤럭시아에스엠,"서울특별시 강남구 학동로 311  (논현동,미성빌딩) 7층",02-775-1300,갤럭시아에스엠,"스포츠, 스포츠스타매니지먼트",연예/스포츠/엔터테인먼트,8
329,(주)에딧,서울특별시 강남구 학동로3길 9  (논현동) 명림빌딩 5층,02-562-5426,에딧,건설 분양,산업군별 마케팅 영역,7-2
332,(주)유어비즈,서울 강남구 역삼동 735-32 쓰리엠타워 11층,02-569-2031,어비즈,"병원, 건설 분양",산업군별 마케팅 영역,7-4
333,(주)나비프론티어,서울특별시 강남구 테헤란로78길 14-10  (대치동) 약산빌딩 3층,02-516-6645,나비프론티어,"마케팅, 기획, BTL, 인테리어",광고 대행/서비스 제공업체,1
335,(주)티지크리에이티브,"서울특별시 강남구 학동로14길 11 202호(논현동, 엘리트빌딩)",02-3442-6702,티지크리에이티브,"실내 인테리어, 무대장치, 옥외광고",디자인 및 시각/산업 디자인,3
336,(주)톰커뮤니케이션즈,서울 강남구 삼성동 120-12 오로라빌딩 2층,02-561-8700,톰커뮤니케이션즈,데이터베이스,광고 대행/서비스 제공업체,1
338,(주)유피피코리아,서울특별시 강남구 논현로114길 8 2층 (논현동),02-426-1480,피피코리아,"전시, 행사",이벤트/전시/행사 대행,6
342,(주)이피피엔,서울특별시 강남구 학동로7길 29  (논현동),02-2085-1800,이피피엔,디지털컨텐츠,미디어/콘텐츠 제작,2
346,엠퍼니인터랙티브(주),서울 강남구 논현동 242-44,02-6404-1663,엠퍼니인터랙티브,"영상제작, 디지털 마케팅",미디어/콘텐츠 제작,2
350,(주)지에스넷비전,"서울특별시 강남구 논현로 508  (역삼동,GS타워)",02-2068-1756,지에스넷비전,"디지털 사이니지, 유통 미디어, 콘텐츠 솔루션",기타 사업지원/유통/전자상거래,9
353,크리에이티브리퍼블릭(주),서울특별시 강남구 도산대로45길 10-8  (신사동) 2층,02-511-3930,크리에이티브리퍼블릭,"브랜드 전략, 통합 마케팅, 디지털 캠페인 기획",마케팅/브랜드/리서치,4
355,디케이이앤엠,"서울특별시 강남구 영동대로122길 15  (삼성동,클레어홀딩스빌딩) 3층",02-3448-4484,디케이이앤엠,"온라인 광고 대행, 바이럴 영상 제작, 유튜브 마케팅",광고 대행/서비스 제공업체,1
365,(주)메네스,서울 강남구 논현동 223-5 501호,02-2203-2290,메네스,"옥외광고, 전시 디자인, 공간 브랜딩",광고 대행/서비스 제공업체,1
366,(주)미소다컴,"서울특별시 강남구 압구정로28길 9-2 , 수정빌딩 5층 (신사동)",02-2232-3737,미소다컴,"인쇄 광고, 브랜드 디자인, 팜플렛 제작",디자인 및 시각/산업 디자인,3
368,(주)유끼커뮤니케이션,"서울특별시 강남구 도산대로 327  (신사동,KMD빌딩) 502",02-3445-6428,끼커뮤니케이션,홍보대행/PPL/스타마케팅/에이전시/언론홍보,광고 대행/서비스 제공업체,1
374,(주)애플망고커뮤니케이션,서울특별시 강남구 논현로95길 12  (역삼동),02-547-8822,애플망고커뮤니케이션,시스템 소프트웨어 개발 및 공급업,IT/디지털/소프트웨어,5
378,(주)스토리인,서울특별시 강남구 삼성로119길 17  (삼성동)지하B101호,070-8825-5790,스토리인,방송 프로그램 제작업,광고 대행/서비스 제공업체,1
380,(주)에이디자인,"서울특별시 강남구 도산대로89길 8  (청담동,LH빌딩) 5층",070-7462-1405,에이디자인,"도배, 실내장식 및 내장 목공사업",디자인 및 시각/산업 디자인,3
381,(주)로지소프트,"서울특별시 강남구 언주로85길 24  (역삼동,유니팜타워)5층",02-6911-3905,로지소프트,응용 소프트웨어 개발 및 공급업,IT/디지털/소프트웨어,5
385,액티브인터내쇼날(주),서울특별시 강남구 테헤란로87길 36  (삼성동) 2304호,02-2016-6091,액티브인터내쇼날,"종합 광고 대행, 무역, 창고운송, 인쇄, 부동산 등",광고 대행/서비스 제공업체,1
386,(주)아이알플러스,서울특별시 강남구 강남대로114길 20  (논현동) 동명빌딩 3층,02-557-9592,아이알플러스,기타 인쇄관련 산업,광고 대행/서비스 제공업체,1
388,베티카(주),"서울특별시 강남구 테헤란로70길 14-8  (대치동,세왕개발빌딩)864",070-7516-7999,베티카,"광고대행(공공정책홍보대행),기록매체 복제,컴퓨터시스템 통합자문,구축,데이터베이스,온라인정보 제공,전시,컨벤션,행사 대행,디자인/서적출판",광고 대행/서비스 제공업체,1
389,(주)리프앤바인,서울특별시 강남구 봉은사로 304 금강빌딩 11층 (역삼동),02-6930-9000,리프앤바인,"신탁,집합투자",산업군별 마케팅 영역,7-2
391,(주)광고방,서울 강남구 청담동 95-3,02-542-9048,광고방,비주거용 건물 임대업,산업군별 마케팅 영역,7-2
395,(주)타임코미디어,서울특별시 강남구 테헤란로8길 32  (역삼동) 타임코빌딩 502,02-561-6260,타임코미디어,방송프로그램및광고영상물제작,미디어/콘텐츠 제작,2
399,주식회사 즐거운인생열시십분사십초,서울특별시 강남구 학동로8길 10 401호 (논현동),02-2015-7490,식회사 즐거운인생열시십분사십초,영화및영상제작,미디어/콘텐츠 제작,2
400,(주)인터러뱅커뮤니케이션즈,"서울특별시 강남구 논현로67길 25  (역삼동,역삼동빌딩) 5층",02-568-3210,인터러뱅커뮤니케이션즈,"광고,홍보,전시",이벤트/전시/행사 대행,6
402,(주)이니셔티브,"서울특별시 강남구 언주로 727  (논현동,트리스빌딩)",02-6255-0055,이니셔티브,교육서비스,광고 대행/서비스 제공업체,1
412,(주)메타커뮤니케이션즈,서울특별시 강남구 논현로86길 27  (역삼동) 동보빌딩 2층,02-566-6644,메타커뮤니케이션즈,",전시,행사 대행/광고영화,비디오물 제작/부동산 전대",이벤트/전시/행사 대행,6
415,(주)쓰리코어,서울특별시 강남구 봉은사로82길 31 (삼성동 예논빌딩) 3층,02-862-7667,쓰리코어,전기용 기계ㆍ장비 및 관련 기자재 도매업,IT/디지털/소프트웨어,5
416,(주)트리니티마케팅컴퍼니,서울특별시 강남구 봉은사로26길 14  (역삼동),02-516-5022,트리니티마케팅컴퍼니,광고 대행업,광고 대행/서비스 제공업체,1
418,주식회사 엠케이이노베이션,"서울특별시 강남구 학동로26길 70 (논현동, 301호)",02-712-9665,식회사 엠케이이노베이션,"골재, 벽돌 및 시멘트 도매업",IT/디지털/소프트웨어,5
419,김영일교육컨설팅(주),"서울특별시 강남구 도곡로13길 6  (역삼동,석영빌딩) 2,3층",02-3432-0101,김영일교육컨설팅,교육서비스,광고 대행/서비스 제공업체,1
425,(주)연훈커뮤니케이션,서울특별시 강남구 논현로124길 5  (논현동) 동양빌딩 4층,02-3444-8680,연훈커뮤니케이션,"방송,영화",미디어/콘텐츠 제작,2
427,(주)투앤파트너스,서울특별시 강남구 강남대로156길 24  (신사동) 유진빌딩 5층,02-546-9082,투앤파트너스,광고 관련 서비스업,광고 대행/서비스 제공업체,1
428,글로벌엔터피아(주),서울특별시 강남구 도산대로17길 8  (신사동) 동문빌딩,02-548-5922,글로벌엔터피아,"화장품, 항균용품 수출",산업군별 마케팅 영역,7-6
431,(주)케이모스트컴퍼니,"서울특별시 강남구 언주로 427  (역삼동,디오빌역삼)",02-3466-6962,케이모스트컴퍼니,"패션, 섬유류 및 기타 전문 디자인업",산업군별 마케팅 영역,7-6
434,(주)메이크애드,서울특별시 강남구 도산대로 159-3  (신사동) 2층 201호,02-3416-0091,메이크애드,"소프트웨어개발 및 공급,건어물 및 젓갈류 도매업,전자상거래",IT/디지털/소프트웨어,5
439,(주)프랜드미디어,서울특별시 강남구 도곡로 139  (역삼동),02-3448-8980,프랜드미디어,인터넷 미디어/부동산 컨설팅,IT/디지털/소프트웨어,5
440,(주)아이프로스펙트코리아,"서울특별시 강남구 테헤란로79길 6 10층 (삼성동,제이에스타워)",02-6005-0904,아이프로스펙트코리아,"매체 분석,매체 기획",광고 대행/서비스 제공업체,1
445,(주)티원미디어,"서울특별시 강남구 언주로172길 65  (신사동,휴빌딩) 5층",02-511-4234,티원미디어,"전시, 컨벤션 및 행사 대행업",이벤트/전시/행사 대행,6
453,(주)커뮤니케이션포이보스,서울특별시 강남구 언주로81길 8  (역삼동) 산정빌딩 202,02-6402-8555,커뮤니케이션포이보스,광고 대행업,광고 대행/서비스 제공업체,1
454,(주)지구인살리기,서울특별시 강남구 도산대로8길 15  (논현동)논현빌딩5층,02-567-3232,지구인살리기,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
459,(주)포엠미디어,서울특별시 강남구 논현로150길 15  (논현동) 402호,02-542-1656,포엠미디어,메디컬 관련 마케팅 전문 기획,마케팅/브랜드/리서치,4
466,(주)한국프랜차이즈서비스,서울특별시 강남구 봉은사로 129-1  (논현동) 751빌딩 7층 702-03호,070-4340-0910,한국프랜차이즈서비스,언론·출판·신문·잡지,미디어/콘텐츠 제작,2
475,지수(주),"서울특별시 강남구 역삼로11길 6  (역삼동,명인갤러리) 503",02-572-0304,지수,"화물운송 중개, 대리 및 관련 서비스업",기타 사업지원/유통/전자상거래,9
477,(주)라파크,서울특별시 강남구 봉은사로 454 금탁타워 7층 (삼성동),02-511-0090,라파크,경 인쇄업,광고 대행/서비스 제공업체,1
480,더메이커스(주),"서울특별시 강남구 논현로 714  (논현동,대흥빌딩) 4층",02-510-9900,더메이커스,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
483,(주)비브커뮤니케이션즈,"서울특별시 강남구 역삼로 172  (역삼동,2층)",02-574-7076,비브커뮤니케이션즈,"전자기기, 전자제품",IT/디지털/소프트웨어,5
485,(주)오케이애드컴,서울특별시 강남구 논현로163길 10  (신사동) 베드로빌딩 6층 601,02-3443-1478,오케이애드컴,지하철 광고,광고 대행/서비스 제공업체,1
491,(주)큐스컴,서울특별시 강남구 강남대로62길 18  (역삼동) 맥산빌딩,02-554-6401,큐스컴,"전시, 컨벤션 및 행사 대행업",이벤트/전시/행사 대행,6
492,(주)큐인사이트,서울특별시 강남구 강남대로62길 18  (역삼동) 맥산빌딩 402-2호,02-554-6402,큐인사이트,커뮤니케이션 디자인 랩,미디어/콘텐츠 제작,2
496,(주)지니스커뮤니케이션,"서울특별시 강남구 언주로170길 8  (신사동,스페이스데코) 2층",02-546-7446,지니스커뮤니케이션,영화,미디어/콘텐츠 제작,2
498,(주)아이브커뮤니케이션즈,서울특별시 강남구 논현로149길 13 예진빌딩 3층,02-2203-8500,아이브커뮤니케이션즈,연예,연예/스포츠/엔터테인먼트,8
504,웨스트커뮤니케이션즈(주),"서울특별시 강남구 학동로2길 19  (논현동,세일빌딩)",02-3443-9021,웨스트커뮤니케이션즈,간판 및 광고물 제조업,미디어/콘텐츠 제작,2
509,(주)크리에이티브닷,서울특별시 강남구 도산대로67길 14  (청담동) 4층,02-542-9048,크리에이티브닷,프로그램 공급업,광고 대행/서비스 제공업체,1
511,(주)컴퍼니,서울특별시 강남구 압구정로30길 73 도일빌딩 2층(신사동),02-2038-2272,컴퍼니,온라인 교육 학원,광고 대행/서비스 제공업체,1
512,(주)표현,서울특별시 강남구 논현로150길 13 혜창빌딩 6층(논현동),02-561-3664,표현,기타 물품 취급장비 제조업,산업군별 마케팅 영역,9
516,(주)베리모먼트,서울특별시 강남구 선릉로111길 41  (논현동) 3층,02-552-9347,베리모먼트,"광고,홍보,전시",광고 대행/서비스 제공업체,1
524,(주)라온크리에이티브,서울특별시 강남구 논현로155길 9 솔로몬빌딩 201(신사동),02-577-4754,라온크리에이티브,IT 컨설팅,IT/디지털/소프트웨어,5
526,(주)메익에프,서울특별시 강남구 봉은사로44길 43 오빌센터 105 (역삼동),070-7808-7355,메익에프,"광고, CF, 디지털, SNS, 바이럴, 영상, 홈쇼핑제작",광고 대행/서비스 제공업체,1
537,(주)레드커뮤니케이션,서울특별시 강남구 강남대로132길 4 진빌딩3층 (논현동),02-516-8993,레드커뮤니케이션,"광고물 문안, 도안, 설계 등 작성업",미디어/콘텐츠 제작,2
538,(주)본팩토리,서울특별시 강남구 삼성로119길 45 4층(삼성동),02-3444-1055,본팩토리,방송사/케이블,광고 대행/서비스 제공업체,1
566,(주)트렌드이슈폴리시,"서울특별시 강남구 도산대로55길 20 4층 (청담동,영빌딩)",02-511-4944,트렌드이슈폴리시,"광고,홍보,전시",광고 대행/서비스 제공업체,1
571,(주)애드파워(서울),"서울특별시 강남구 언주로 641 1703호(논현동, 펜트힐 루 논현)",02-556-8957,애드파워(서울),"건설,부동산",산업군별 마케팅 영역,7-2
574,(주)스포티즌,"서울특별시 강남구 삼성로 739 신관 4,5층 (청담동)",02-2179-3871,스포티즌,스포츠 서비스업,연예/스포츠/엔터테인먼트,8
575,(주)캔컴,서울특별시 강남구 논현로117길 7 대운빌딩 3층 (논현동),02-518-1996,캔컴,기타 인쇄업,미디어/콘텐츠 제작,2
585,(주)자이언트스텝,서울특별시 강남구 학동로37길 8  (논현동),02-549-0005,자이언트스텝,광고 영화 및 비디오물 제작업,미디어/콘텐츠 제작,2
587,(주)부시기획,서울특별시 강남구 학동로6길 8 범우빌딩 3층 (논현동),02-2268-7738,부시기획,"기획(판촉물,디자인)",미디어/콘텐츠 제작,2
590,(주)커뮤니케이션즈키,서울특별시 강남구 언주로126길 17 와이빌라301호 (논현동),02-517-9157,커뮤니케이션즈키,"광고,홍보,전시",광고 대행/서비스 제공업체,1
592,(주)스쿨터치,"서울특별시 강남구 학동로101길 26 (415-1호) (청담동, 청담 삼익상가)",070-8146-2826,스쿨터치,광고 대행업,광고 대행/서비스 제공업체,1
